
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2024-02-20;56.938,96;4873684003717;59.067,68;4396115560658;54.188,25;5912169189509;57.658,53;1601553325923;90.950,05;1146633660659;53.226,63;3940499049438;58.276,44;215047496481
2024-02-21;57.057,72;4888645422876;59.181,24;4401288861862;54.301,90;5923488826558;57.781,91;1604215239099;91.140,73;1147905580082;53.351,31;3948498026069;58.395,17;215223868512
2024-02-22;56.899,22;4873937823021;59.042,66;4389163173897;54.144,72;5903545728669;57.647,48;1599927342158;90.943,62;1144918764679;53.197,68;3935515132674;58.275,85;214718215209
2024-02-23;56.718,24;4852608022247;58.868,54;4370491075894;53.973,91;5882168530117;57.486,60;1593882580206;90.685,31;1140569915438;53.023,27;3919925191912;58.125,41;213816757113
2024-02-24;56.718,24;4852608022247;58.868,54;4370491075894;53.973,91;5882168530117;57.486,60;1593882580206;90.685,31;1140569915438;53.023,27;3919925191912;58.125,41;213816757113
2024-02-25;56.718,24;4852608022247;58.868,54;4370491075894;53.973,91;5882168530117;57.486,60;1593882580206;90.685,31;1140569915438;53.023,27;3919925191912;58.125,41;213816757113
2024-02-26;56.447,60;4824698613164;58.573,86;4342975701879;53.738,42;5850240716452;57.235,65;1585592910582;90.290,82;1135039817714;52.782,32;3901735631268;57.847,12;212724474029
2024-02-27;56.403,76;4813857468419;58.524,83;4333605542641;53.679,49;5836880704928;57.189,48;1583015092229;90.228,91;1134022875434;52.715,14;3895111878864;57.819,90;212450632988
2024-02-28;56.199,73;4782470017800;58.312,74;4300772032283;53.487,25;5785545144437;56.996,86;1575365063268;89.904,69;1127926552219;52.530,40;3873805770848;57.595,18;210792808444
2024-02-29;56.132,04;4768886741367;58.222,61;4289196639811;53.418,77;5771056209402;56.921,46;1572346168919;89.786,58;1125442582517;52.469,23;3868035100462;57.527,00;210465526103
2024-03-01;56.297,43;4763389441571;58.388,89;4281718233732;53.596,26;5774856777400;57.080,09;1574216028147;90.045,96;1132213796314;52.651,54;3871961292777;57.696,04;213116056004
2024-03-02;56.297,43;4763389441571;58.388,89;4281718233732;53.596,26;5774856777400;57.080,09;1574216028147;90.045,96;1132213796314;52.651,54;3871961292777;57.696,04;213116056004
2024-03-03;56.297,43;4763389441571;58.388,89;4281718233732;53.596,26;5774856777400;57.080,09;1574216028147;90.045,96;1132213796314;52.651,54;3871961292777;57.696,04;213116056004
2024-03-04;56.547,01;4775843278055;58.659,30;4295841311441;53.837,51;5780135766205;57.338,83;1580572343965;90.436,70;1135832513948;52.906,31;3887244780388;57.939,16;213451545089
2024-03-05;56.640,11;4772818485331;58.757,08;4291963084000;53.921,67;5771852822864;57.437,78;1581955460433;90.589,80;1135873372901;52.980,19;3889527947168;58.058,05;213070592017
2024-03-06;57.074,04;4800221770335;59.178,18;4309301351530;54.319,75;5806201163816;57.839,64;1591958345491;91.217,42;1142911296908;53.410,63;3919900178723;58.447,07;214325275021
2024-03-07;57.336,19;4815596118059;59.423,61;4320924599947;54.568,18;5822627845030;58.064,54;1597454924462;91.565,71;1145364571041;53.664,34;3937102139325;58.675,07;214785288735
2024-03-08;57.619,54;4827694824599;59.728,69;4333281256563;54.826,25;5832272815687;58.395,25;1604561959364;92.019,56;1149302334874;53.947,32;3952355230688;59.011,26;215486833190
2024-03-09;57.619,54;4827694824599;59.728,69;4333281256563;54.826,25;5832272815687;58.395,25;1604561959364;92.019,56;1149302334874;53.947,32;3952355230688;59.011,26;215486833190
2024-03-10;57.619,54;4827694824599;59.728,69;4333281256563;54.826,25;5832272815687;58.395,25;1604561959364;92.019,56;1149302334874;53.947,32;3952355230688;59.011,26;215486833190
2024-03-11;57.776,64;4838640245047;59.886,80;4345411286880;55.004,29;5861005226558;58.590,32;1610362663266;92.311,12;1152861535586;54.097,08;3963135502306;59.188,16;216043665605
2024-03-12;57.754,98;4826841026360;59.855,28;4340954832235;54.971,46;5852385582986;58.538,67;1608425042827;92.290,80;1153082007883;54.045,99;3957729268447;59.166,40;215986768506
